,artist,danceability,valence,tempo,liveness,song,popularity,speechiness,mood,loudness,duration_ms,energy,release_date,acousticness,mode,instrumentalness,key,year,artist_genre,artist_popularity,artist_followers,hit,words_count,words_average_size,1st_word,1st_occurence,1st_word_percentage,2nd_word,2nd_occurence,2nd_word_percentage,3rd_word,3rd_occurence,3rd_word_percentage,4th_word,4th_occurence,4th_word_percentage,5th_word,5th_occurence,5th_word_percentage,longest_word,longest_word_length,unique_word_percentage,Explicitness
25,OneRepublic,0.516,0.376,148.021,0.115,Secrets,77.0,0.0366,Energetic,-6.223,224693.0,0.764,1/1/2009,0.0717,1.0,0.0,2.0,2009.0,soft pop,84.0,18051378.0,1,450,4.245901639344262,oh,31,6.888888888888889,mr,21,4.666666666666667,tell,18,4.0,youre,16,3.555555555555556,rager,15,3.333333333333333,ragererererer,13,8.444444444444445,0
26,Green Day,0.268,0.416,159.779,0.626,21 Guns,77.0,0.0355,Energetic,-4.939,321093.0,0.742,5/15/2009,0.0518,1.0,0.0,5.0,2009.0,punk,82.0,16334071.0,1,583,3.929577464788733,hey,24,4.11663807890223,was,18,3.0874785591766725,thinking,15,2.5728987993138936,bout,15,2.5728987993138936,she,13,2.229845626072041,replacement,11,12.864493996569468,0
27,Muse,0.602,0.411,128.019,0.117,Uprising,77.0,0.0775,Energetic,-4.046,304840.0,0.905,9/10/2009,0.000202,1.0,0.064,2.0,2009.0,alternative rock,76.0,8190393.0,1,397,4.170731707317073,only,26,6.54911838790932,like,22,5.541561712846348,one,17,4.282115869017632,me,15,3.778337531486146,make,13,3.27455919395466,understands,11,9.571788413098236,0
28,Drake,0.395,0.558,162.361,0.134,Best I Ever Had,76.0,0.375,Energetic,-2.176,257690.0,0.922,2009,0.19,1.0,0.0,1.0,2009.0,rap,97.0,97003367.0,1,614,4.1466666666666665,say,31,5.04885993485342,whatcha,26,4.234527687296417,mm,18,2.931596091205212,oh,14,2.280130293159609,me,14,2.280130293159609,whawhawhawhawhat,16,9.283387622149837,0
29,Miley Cyrus,0.459,0.194,137.941,0.105,When I Look At You,76.0,0.0282,Energetic,-4.874,248587.0,0.545,1/1/2009,0.142,1.0,0.0,6.0,2009.0,,83.0,25700084.0,1,197,4.035714285714286,me,9,4.568527918781726,say,9,4.568527918781726,marry,7,3.553299492385787,mmmm,7,3.553299492385787,will,6,3.045685279187817,beautiful,9,23.85786802030457,0
30,Rihanna,0.563,0.812,173.906,0.0788,Rude Boy,76.0,0.127,Energetic,-4.496,222920.0,0.75,11/20/2009,0.113,1.0,0.0,11.0,2009.0,,91.0,66054593.0,1,363,4.196078431372549,awe,19,5.234159779614325,youre,13,3.581267217630854,em,12,3.3057851239669422,awe,8,2.203856749311295,like,6,1.6528925619834711,thrououough,11,19.83471074380165,0
31,Kid Cudi,0.88,0.803,138.018,0.122,Day 'N' Nite (Nightmare),76.0,0.0653,Happy,-6.359,221240.0,0.443,1/1/2009,0.462,0.0,7.13e-06,11.0,2009.0,,79.0,7458180.0,1,408,4.1923076923076925,is,6,1.4705882352941178,nightmare,5,1.2254901960784317,have,5,1.2254901960784317,know,5,1.2254901960784317,yeah,5,1.2254901960784317,selfassassination,17,37.00980392156863,0
32,The Fray,0.338,0.4,151.994,0.136,You Found Me,75.0,0.0413,Energetic,-5.412,241853.0,0.803,2/2/2009,0.0187,0.0,0.0,8.0,2009.0,,74.0,4188020.0,1,496,4.178571428571429,na,32,6.451612903225806,na,29,5.846774193548387,nanana,20,4.032258064516129,nanana,18,3.629032258064516,gimme,9,1.814516129032258,bulletproof,11,26.81451612903226,0
33,Bon Iver,0.329,0.121,159.719,0.0971,Rosyln,75.0,0.0302,Sad,-13.111,289560.0,0.277,10/9/2009,0.971,0.0,0.024,10.0,2009.0,indie folk,76.0,3817600.0,1,335,4.489795918367347,but,12,3.582089552238806,sometimes,12,3.582089552238806,that,7,2.08955223880597,me,6,1.791044776119403,lasts,6,1.791044776119403,bittersweet,11,17.313432835820894,0
34,Flo Rida,0.72,0.705,124.986,0.232,Right Round,75.0,0.0551,Energetic,-6.852,204640.0,0.672,3/30/2009,0.009,1.0,0.0,7.0,2009.0,,81.0,8883732.0,1,373,4.44,run,29,7.774798927613941,better,28,7.506702412868632,with,16,4.289544235924933,all,14,3.753351206434316,other,14,3.753351206434316,rururururun,11,16.621983914209114,0
