words_count,words_average_size,1st_word,1st_occurence,1st_word_percentage,2nd_word,2nd_occurence,2nd_word_percentage,3rd_word,3rd_occurence,3rd_word_percentage,4th_word,4th_occurence,4th_word_percentage,5th_word,5th_occurence,5th_word_percentage,longest_word,longest_word_length,unique_word_percentage,Explicitness
411,4.318840579710145,good,21,5.109489051094891,life,18,4.37956204379562,this,9,2.18978102189781,This,9,2.18978102189781,really,7,1.70316301703163,Hopelessly,10,15.085158150851582,0
257,4.363636363636363,time,17,6.614785992217898,Ill,14,5.447470817120623,This,14,5.447470817120623,baby,13,5.058365758754864,bulletproof,10,3.8910505836575875,informations,12,18.67704280155642,0
548,3.888888888888889,one,36,6.569343065693431,time,21,3.832116788321168,tell,19,3.4671532846715327,girl,18,3.2846715328467155,Ima,17,3.102189781021898,butterflies,11,12.043795620437956,0
369,4.074074074074074,gon,12,3.252032520325203,Cause,9,2.4390243902439024,up,9,2.4390243902439024,do,7,1.897018970189702,Yeah,6,1.6260162601626016,sometimes,9,9.214092140921409,0
370,3.9038461538461537,at,10,2.7027027027027026,feel,8,2.1621621621621623,like,8,2.1621621621621623,doin,8,2.1621621621621623,yeah,8,2.1621621621621623,everything,10,20.0,0
402,4.365384615384615,come,20,4.975124378109452,raise,16,3.9800995024875623,glass,10,2.487562189054726,and,10,2.487562189054726,all,9,2.2388059701492535,nittygritty,11,19.154228855721392,0
674,3.9767441860465116,boom,60,8.90207715133531,badoom,28,4.154302670623146,Boom,26,3.857566765578635,bass,22,3.264094955489614,that,20,2.9673590504451037,Entrepreneur,12,15.72700296735905,0
334,3.7735849056603774,wanna,10,2.9940119760479043,baby,9,2.694610778443114,think,8,2.395209580838323,marry,8,2.395209580838323,no,8,2.395209580838323,beautiful,9,14.970059880239521,0
430,4.073529411764706,ya,12,2.7906976744186047,Yeah,12,2.7906976744186047,yeah,12,2.7906976744186047,all,10,2.3255813953488373,Id,9,2.0930232558139537,understand,10,15.116279069767442,0
287,3.95,Hey,11,3.832752613240418,soul,7,2.4390243902439024,sister,7,2.4390243902439024,single,5,1.7421602787456445,wanna,5,1.7421602787456445,connection,10,25.78397212543554,0
316,4.03921568627451,go,27,8.544303797468354,dont,22,6.962025316455696,please,21,6.6455696202531644,Baby,18,5.69620253164557,go,12,3.7974683544303796,yesterday,9,8.544303797468354,0
698,4.133333333333334,could,34,4.871060171919771,You,26,3.7249283667621778,bet,25,3.5816618911174785,that,25,3.5816618911174785,that,24,3.438395415472779,blackboard,10,10.02865329512894,0
857,4.1,take,17,1.9836639439906651,not,12,1.4002333722287048,this,11,1.2835472578763127,that,9,1.0501750291715286,down,9,1.0501750291715286,responsibilities,16,27.654609101516918,0
531,4.424657534246576,power,9,1.694915254237288,man,7,1.3182674199623352,say,7,1.3182674199623352,this,6,1.1299435028248588,And,6,1.1299435028248588,responsibilities,16,32.015065913371,0
572,4.365853658536586,lights,20,3.4965034965034967,all,16,2.797202797202797,see,13,2.272727272727273,up,10,1.7482517482517483,baby,10,1.7482517482517483,Unemployment,12,13.811188811188812,0
450,4.125,oh,24,5.333333333333333,Mr,21,4.666666666666667,Rager,15,3.3333333333333335,youre,14,3.111111111111111,where,12,2.6666666666666665,Ragererererer,13,9.555555555555555,0
583,3.9178082191780823,Hey,24,4.11663807890223,was,18,3.0874785591766725,bout,15,2.5728987993138936,just,12,2.058319039451115,she,12,2.058319039451115,replacement,11,14.579759862778731,0
397,4.1063829787234045,only,19,4.785894206549118,Like,18,4.534005037783375,one,17,4.282115869017632,me,15,3.7783375314861463,world,12,3.022670025188917,understands,11,10.327455919395465,0
614,4.153846153846154,say,31,5.04885993485342,whatcha,20,3.257328990228013,Mm,18,2.9315960912052117,me,14,2.2801302931596092,did,13,2.1172638436482085,Whawhawhawhawhat,16,10.912052117263844,0
197,3.8275862068965516,me,9,4.568527918781726,Marry,7,3.553299492385787,mmmm,7,3.553299492385787,Say,6,3.045685279187817,will,6,3.045685279187817,beautiful,9,27.411167512690355,0
363,4.172413793103448,em,12,3.3057851239669422,awe,12,3.3057851239669422,youre,9,2.479338842975207,let,6,1.6528925619834711,firework,6,1.6528925619834711,thrououough,11,20.9366391184573,0
408,4.153846153846154,And,8,1.9607843137254901,is,6,1.4705882352941178,nightmare,5,1.2254901960784315,have,5,1.2254901960784315,know,5,1.2254901960784315,selfassassination,17,40.19607843137255,0
